,sqft,bedrooms,bathrooms,tax_value
75,1623.0,4.0,2.0,313973.0
76,3172.0,3.0,3.0,700000.0
77,1206.0,3.0,1.0,52764.0
78,1560.0,3.0,2.0,56059.0
79,1908.0,4.0,3.0,145452.0
80,1901.0,5.0,2.0,635000.0
81,1384.0,3.0,2.0,288193.0
82,1482.0,4.0,2.0,289996.0
83,1658.0,4.0,2.5,206365.0
84,480.0,2.0,1.0,13817.0
85,1441.0,3.0,2.0,315672.0
86,1270.0,3.0,2.0,282233.0
87,1392.0,4.0,2.0,420525.0
88,455.0,1.0,1.0,86152.0
89,3245.0,5.0,3.0,1294418.0
90,1270.0,3.0,2.0,77571.0
91,1353.0,2.0,2.0,132508.0
92,2342.0,4.0,3.0,387648.0
93,2468.0,5.0,3.0,705590.0
94,3543.0,5.0,4.5,502035.0
95,3107.0,4.0,3.0,1279125.0
96,1295.0,3.0,1.0,192008.0
97,1440.0,3.0,2.0,84218.0
98,1632.0,3.0,2.0,631600.0
99,2521.0,4.0,3.0,128871.0
100,1346.0,3.0,2.0,206909.0
101,2088.0,4.0,3.0,521000.0
102,1966.0,4.0,2.0,419295.0
103,2728.0,3.0,3.0,789179.0
104,1499.0,3.0,2.0,82798.0
105,1570.0,4.0,2.0,249614.0
106,2880.0,4.0,3.0,333437.0
107,1080.0,3.0,1.0,60632.0
108,4664.0,3.0,6.0,2157425.0
109,3304.0,4.0,3.0,524802.0
110,1929.0,3.0,2.0,404643.0
111,2294.0,2.0,2.0,439797.0
112,1809.0,4.0,2.0,884199.0
113,3215.0,4.0,3.0,579800.0
114,1558.0,3.0,2.0,515000.0
115,1938.0,3.0,2.0,385911.0
116,3136.0,3.0,3.0,892864.0
117,1306.0,3.0,1.0,78015.0
118,1502.0,2.0,1.0,312262.0
119,2016.0,4.0,2.0,639607.0
120,2960.0,3.0,3.0,303621.0
121,2379.0,4.0,3.0,622298.0
122,1363.0,3.0,2.0,516832.0
123,2985.0,7.0,3.0,366160.0
124,,0.0,0.0,830145.0
125,1633.0,3.0,2.0,176344.0
126,4436.0,5.0,4.0,2249017.0
127,2134.0,3.0,2.5,1794000.0
128,3790.0,3.0,3.5,1185538.0
129,1620.0,4.0,2.0,1590506.0
130,919.0,2.0,2.0,585000.0
131,1471.0,3.0,2.0,155328.0
132,3912.0,4.0,5.0,1038000.0
133,1604.0,3.0,2.5,388000.0
134,2605.0,4.0,3.0,419999.0
135,1076.0,3.0,1.0,61999.0
136,1390.0,3.0,2.0,169687.0
137,1682.0,4.0,3.0,77610.0
138,2837.0,6.0,5.5,524638.0
139,2419.0,4.0,2.5,398434.0
140,2834.0,5.0,4.0,766451.0
141,3227.0,3.0,3.5,947513.0
142,1153.0,3.0,1.5,423359.0
143,1180.0,3.0,1.5,200356.0
144,3733.0,6.0,4.0,799634.0
145,1214.0,3.0,1.0,61124.0
146,1576.0,3.0,2.0,116226.0
147,1357.0,3.0,2.0,239875.0
148,688.0,2.0,1.0,279193.0
149,1568.0,3.0,2.0,342300.0
150,1913.0,3.0,2.5,632193.0
151,2074.0,3.0,4.0,757578.0
152,1666.0,3.0,2.0,808662.0
153,1737.0,4.0,3.0,137933.0
154,2022.0,3.0,2.5,438991.0
155,3567.0,5.0,4.5,891736.0
156,1495.0,3.0,2.0,72166.0
157,1720.0,3.0,1.0,96224.0
158,1103.0,3.0,1.0,234051.0
159,2208.0,4.0,3.0,231896.0
160,1590.0,3.0,2.0,92344.0
161,1866.0,4.0,2.5,344422.0
162,2303.0,4.0,2.5,736753.0
163,1084.0,3.0,1.0,244680.0
164,1162.0,2.0,1.5,394456.0
165,1369.0,3.0,2.0,289965.0
166,1766.0,3.0,2.5,292122.0
167,2228.0,3.0,2.5,461107.0
168,3309.0,4.0,3.0,1452674.0
169,1635.0,3.0,2.0,395024.0
170,3659.0,6.0,6.0,2010195.0
171,1303.0,4.0,2.0,395808.0
172,1479.0,3.0,2.0,98489.0
173,984.0,2.0,1.0,271911.0
174,1875.0,6.0,3.0,136310.0
175,867.0,2.0,1.0,544000.0
176,930.0,2.0,1.0,227111.0
177,2322.0,2.0,5.0,677957.0
178,2952.0,4.0,3.0,1201278.0
179,3577.0,5.0,4.0,889200.0
180,1883.0,3.0,2.0,208389.0
181,660.0,2.0,1.0,292207.0
182,1185.0,3.0,2.0,382723.0
183,1181.0,3.0,1.5,487320.0
184,2024.0,4.0,2.0,152505.0
185,1208.0,3.0,2.0,363636.0
186,2357.0,4.0,2.5,748968.0
187,2202.0,3.0,3.0,246800.0
188,5147.0,5.0,6.0,1531397.0
189,1219.0,3.0,2.0,461938.0
190,1192.0,2.0,2.0,403729.0
191,848.0,2.0,1.0,283252.0
192,1414.0,3.0,2.0,610813.0
193,1099.0,2.0,2.0,148381.0
194,1800.0,3.0,2.5,530000.0
195,1410.0,4.0,2.0,363100.0
196,1794.0,3.0,2.0,887658.0
197,1240.0,3.0,2.0,99300.0
198,1424.0,4.0,2.0,567000.0
199,1994.0,3.0,2.0,365635.0
200,1420.0,3.0,2.0,194716.0
201,1224.0,3.0,2.0,566000.0
202,2918.0,4.0,3.0,330191.0
203,1248.0,3.0,2.0,457701.0
204,4331.0,5.0,4.5,833555.0
205,1978.0,4.0,3.0,539007.0
206,1252.0,3.0,2.0,431481.0
207,1440.0,3.0,2.0,47377.0
208,955.0,3.0,1.0,386728.0
209,3080.0,3.0,3.0,1065000.0
210,1619.0,1.0,3.0,1664376.0
211,1859.0,4.0,2.0,353811.0
212,1215.0,3.0,2.0,65276.0
213,1930.0,3.0,2.0,758649.0
214,1956.0,3.0,2.0,2715793.0
215,1372.0,3.0,2.0,208369.0
216,1348.0,2.0,1.0,380605.0
217,1555.0,4.0,3.0,253993.0
218,1687.0,2.0,2.0,754468.0
219,2409.0,4.0,3.0,2100270.0
220,1824.0,2.0,2.0,134364.0
221,1076.0,4.0,1.0,389000.0
222,2709.0,4.0,3.0,522875.0
223,1561.0,3.0,2.0,417131.0
224,1192.0,3.0,2.0,288933.0
225,1395.0,3.0,2.0,388006.0
226,6249.0,6.0,5.0,3681324.0
227,528.0,1.0,1.0,342000.0
228,1425.0,4.0,2.0,285867.0
229,1184.0,2.0,1.0,506000.0
230,3031.0,4.0,4.0,652684.0
231,1068.0,3.0,2.0,47535.0
232,1246.0,2.0,1.0,63529.0
233,1921.0,3.0,2.5,564000.0
234,1128.0,3.0,2.0,169738.0
235,1215.0,3.0,2.0,334953.0
236,1583.0,3.0,2.0,649101.0
237,1371.0,3.0,2.5,410786.0
238,2010.0,2.0,2.0,416283.0
239,1436.0,4.0,2.0,337048.0
240,1194.0,3.0,2.0,403856.0
241,1547.0,3.0,2.0,255887.0
242,2287.0,3.0,3.0,900430.0
243,4782.0,5.0,4.0,507758.0
244,2306.0,3.0,2.0,2181870.0
245,950.0,2.0,1.0,284270.0
246,1056.0,3.0,1.0,137491.0
247,805.0,3.0,1.0,41366.0
248,1108.0,2.0,1.0,171648.0
249,1418.0,3.0,2.0,397998.0
250,1410.0,3.0,2.0,78030.0
251,1660.0,4.0,2.5,561445.0
252,1313.0,3.0,2.0,210496.0
253,1499.0,3.0,3.0,409989.0
254,1422.0,4.0,2.0,282832.0
255,1770.0,3.0,2.0,528120.0
256,1257.0,3.0,2.0,213246.0
257,1482.0,3.0,2.0,274539.0
258,725.0,2.0,1.0,189320.0
259,1848.0,4.0,2.0,64712.0
260,2601.0,4.0,3.0,1066012.0
261,2053.0,3.0,2.5,784633.0
262,2160.0,3.0,3.0,1017322.0
263,3316.0,4.0,3.0,1092550.0
264,1157.0,3.0,2.0,918474.0
265,2004.0,3.0,2.5,579707.0
266,1335.0,4.0,3.0,470060.0
267,1430.0,2.0,2.0,381638.0
268,2672.0,4.0,3.0,461232.0
269,1723.0,2.0,3.0,568508.0
270,1628.0,3.0,2.0,372230.0
271,2037.0,3.0,2.0,479000.0
272,1128.0,3.0,2.0,591000.0
273,1714.0,4.0,2.0,837386.0
274,2748.0,5.0,3.0,534535.0
275,1018.0,2.0,2.0,296969.0
276,882.0,2.0,1.0,288725.0
277,2718.0,3.0,2.0,297213.0
278,1274.0,2.0,2.0,260055.0
279,1144.0,2.0,1.0,423249.0
280,1821.0,3.0,2.0,669406.0
281,1748.0,4.0,2.5,69834.0
282,2474.0,4.0,3.0,696000.0
283,1767.0,4.0,2.0,79089.0
284,3186.0,4.0,4.0,651462.0
285,1625.0,3.0,2.0,392155.0
286,2090.0,3.0,2.0,427300.0
287,784.0,1.0,1.0,188067.0
288,1263.0,2.0,2.0,195034.0
289,1134.0,3.0,2.0,168328.0
290,1815.0,4.0,2.0,280235.0
291,1463.0,3.0,2.0,177864.0
292,2159.0,3.0,2.0,823627.0
293,2103.0,2.0,2.0,1647189.0
294,1797.0,3.0,2.5,1024285.0
295,3523.0,6.0,4.5,670951.0
296,1801.0,3.0,2.0,468398.0
297,1440.0,3.0,2.0,236776.0
298,1416.0,3.0,2.0,72681.0
299,2672.0,5.0,4.0,367029.0
300,3155.0,5.0,4.0,1332579.0
301,1808.0,4.0,2.0,124623.0
302,3443.0,4.0,3.0,885472.0
303,2821.0,3.0,4.0,227267.0
304,1097.0,3.0,2.0,195421.0
305,1785.0,3.0,2.0,72293.0
306,972.0,2.0,1.0,319803.0
307,1635.0,3.0,2.0,357429.0
308,1181.0,3.0,1.0,336441.0
309,1210.0,3.0,1.0,525000.0
310,966.0,2.0,1.0,330000.0
311,1720.0,2.0,1.0,214783.0
312,1944.0,3.0,3.0,1089314.0
313,1666.0,4.0,2.0,175276.0
314,1916.0,3.0,3.0,430707.0
315,1464.0,4.0,2.0,70365.0
316,1696.0,4.0,2.0,639957.0
317,1718.0,3.0,2.5,485230.0
318,1403.0,3.0,2.0,85712.0
319,8837.0,8.0,9.0,3350689.0
320,1066.0,3.0,1.0,70720.0
321,1272.0,3.0,2.0,474325.0
322,986.0,3.0,1.0,42966.0
323,929.0,2.0,1.0,96558.0
324,1058.0,2.0,1.0,142945.0
325,2304.0,4.0,3.0,114768.0
326,2966.0,4.0,3.0,2537058.0
327,2453.0,4.0,3.0,729964.0
328,1641.0,3.0,2.5,790879.0
329,2170.0,4.0,3.0,599000.0
330,1055.0,2.0,2.0,155328.0
331,945.0,2.0,1.0,206164.0
332,1110.0,3.0,2.0,506000.0
333,1010.0,2.0,1.0,36612.0
334,2475.0,4.0,3.5,526182.0
335,1141.0,3.0,2.0,281851.0
336,1279.0,3.0,2.0,420300.0
337,2910.0,3.0,3.0,147617.0
338,1582.0,4.0,2.0,474661.0
339,1125.0,3.0,2.0,57736.0
340,1248.0,2.0,1.0,229710.0
341,1256.0,3.0,1.5,336581.0
342,2432.0,4.0,2.0,749463.0
343,1285.0,3.0,2.0,215125.0
344,2447.0,5.0,3.0,358494.0
345,3791.0,5.0,5.0,866566.0
346,1369.0,2.0,2.0,870133.0
347,2449.0,3.0,3.0,227816.0
348,2389.0,4.0,2.0,311590.0
349,1477.0,4.0,2.0,69536.0
350,1500.0,4.0,2.0,71860.0
351,4677.0,5.0,4.5,2573126.0
352,6611.0,5.0,6.0,3338605.0
353,1190.0,3.0,2.0,64866.0
354,1352.0,4.0,2.0,52761.0
355,3179.0,4.0,3.0,393953.0
356,1914.0,3.0,3.0,154941.0
357,1852.0,4.0,3.0,239900.0
358,2034.0,4.0,2.0,91287.0
359,1897.0,4.0,2.0,615000.0
360,2655.0,5.0,3.0,198021.0
361,868.0,2.0,1.0,58966.0
362,3321.0,4.0,4.0,3725000.0
363,2663.0,5.0,3.0,379292.0
364,2743.0,4.0,2.5,646706.0
365,1450.0,3.0,2.0,300961.0
366,2020.0,3.0,1.0,117672.0
367,1099.0,3.0,2.0,1160000.0
368,1844.0,4.0,2.5,83673.0
369,1490.0,3.0,2.0,147160.0
370,1533.0,3.0,2.0,259512.0
371,4874.0,7.0,6.0,1036230.0
372,1689.0,3.0,2.0,454832.0
373,1120.0,3.0,2.0,226877.0
374,2336.0,3.0,2.5,809261.0
375,2208.0,4.0,3.0,347440.0
376,1456.0,3.0,2.0,431481.0
377,2155.0,4.0,3.0,446745.0
378,2235.0,4.0,3.0,727687.0
379,1630.0,3.0,2.5,379778.0
380,2162.0,3.0,3.0,107237.0
381,2595.0,4.0,3.0,1055732.0
382,3062.0,4.0,2.5,414681.0
383,1306.0,3.0,2.0,366882.0
384,3021.0,3.0,3.0,1352521.0
385,1168.0,4.0,2.0,280000.0
386,1400.0,3.0,2.0,81339.0
387,1210.0,3.0,1.0,503000.0
388,1162.0,3.0,2.0,94034.0
389,1231.0,3.0,2.0,508000.0
390,1251.0,3.0,2.0,500000.0
391,1624.0,4.0,2.0,108886.0
392,5906.0,7.0,8.0,6620375.0
393,1110.0,3.0,2.0,339526.0
394,2271.0,5.0,3.0,909178.0
395,1271.0,2.0,2.0,119577.0
396,1503.0,4.0,2.0,522853.0
397,3103.0,5.0,4.0,955350.0
398,2354.0,4.0,3.0,161583.0
399,1550.0,4.0,2.5,994464.0
400,1218.0,3.0,2.0,300854.0
401,1890.0,4.0,2.0,75753.0
402,1256.0,3.0,2.0,522300.0
403,1610.0,4.0,2.0,457966.0
404,2287.0,3.0,1.5,983755.0
405,1251.0,3.0,2.0,421527.0
406,1678.0,4.0,2.0,607000.0
407,1112.0,2.0,1.0,305738.0
408,2206.0,3.0,2.0,992041.0
409,1892.0,3.0,2.0,434577.0
410,1952.0,3.0,3.0,391152.0
411,750.0,2.0,1.0,1048509.0
412,1587.0,4.0,2.0,493254.0
413,2639.0,4.0,2.5,404170.0
414,1035.0,2.0,1.0,150967.0
415,2195.0,2.0,3.5,432186.0
416,1415.0,2.0,1.0,512000.0
417,3726.0,4.0,5.0,296335.0
418,2168.0,4.0,2.0,532922.0
419,1749.0,3.0,2.0,363533.0
420,964.0,3.0,2.0,189430.0
421,1884.0,4.0,2.0,473585.0
422,1406.0,3.0,2.0,311853.0
423,1912.0,4.0,2.5,271854.0
424,1555.0,4.0,2.0,212817.0
425,2367.0,4.0,3.0,636200.0
426,1220.0,2.0,2.0,695445.0
427,1511.0,3.0,2.0,321585.0
428,785.0,2.0,1.0,439094.0
429,3969.0,4.0,3.5,599952.0
430,1303.0,3.0,2.0,119979.0
431,3020.0,5.0,3.0,288404.0
432,3407.0,7.0,5.0,763327.0
433,2096.0,3.0,2.0,105370.0
434,2099.0,2.0,3.0,488661.0
435,1370.0,3.0,2.0,173629.0
436,3140.0,5.0,4.5,1234067.0
437,1083.0,2.0,1.0,401600.0
438,1249.0,2.0,2.0,759474.0
439,2792.0,4.0,3.0,213279.0
440,1681.0,3.0,3.0,1030356.0
441,3049.0,4.0,3.0,1207030.0
442,1792.0,4.0,2.0,585000.0
443,3425.0,4.0,2.5,801085.0
444,1448.0,3.0,2.0,402340.0
445,1541.0,4.0,2.0,76374.0
446,1687.0,4.0,2.0,352743.0
447,1318.0,3.0,1.0,171363.0
448,2811.0,7.0,3.0,186669.0
449,3073.0,5.0,3.0,127734.0
450,1213.0,3.0,1.0,313486.0
451,1195.0,2.0,2.0,501488.0
452,1369.0,2.0,2.0,195804.0
453,3121.0,4.0,3.0,303370.0
454,5238.0,6.0,5.0,3147357.0
455,2196.0,5.0,3.0,835600.0
456,3085.0,3.0,4.0,401037.0
457,6390.0,4.0,4.5,2970000.0
458,2538.0,4.0,3.0,657712.0
459,1244.0,3.0,2.0,156270.0
460,2154.0,4.0,2.0,515604.0
461,3616.0,3.0,3.5,858676.0
462,3329.0,5.0,4.0,991188.0
463,1416.0,3.0,2.0,910000.0
464,1442.0,3.0,2.0,105147.0
465,3346.0,3.0,2.5,1103597.0
466,520.0,1.0,1.0,32640.0
467,1602.0,3.0,1.5,206430.0
468,1092.0,2.0,1.0,309172.0
469,5052.0,4.0,5.0,3188807.0
470,1775.0,3.0,2.0,504303.0
471,1259.0,4.0,2.0,251385.0
472,1418.0,3.0,2.0,1144000.0
473,2792.0,4.0,2.5,1246721.0
474,3281.0,4.0,3.0,862354.0
475,3406.0,3.0,3.0,2300000.0
476,1768.0,3.0,2.0,626000.0
477,2036.0,4.0,2.0,373432.0
478,1376.0,2.0,2.0,70781.0
479,2005.0,5.0,3.0,352241.0
480,2031.0,3.0,2.0,497548.0
481,2910.0,4.0,3.0,916347.0
482,1382.0,3.0,2.0,297148.0
483,2898.0,3.0,2.0,330723.0
484,1681.0,4.0,2.0,545202.0
485,906.0,2.0,1.0,23143.0
486,3991.0,4.0,4.5,6689970.0
487,1818.0,3.0,2.5,302538.0
488,1988.0,3.0,3.0,516870.0
489,1299.0,3.0,3.0,371363.0
490,1063.0,2.0,1.0,168381.0
491,1428.0,2.0,2.0,472947.0
492,4428.0,4.0,3.0,3096141.0
493,1868.0,3.0,3.0,419107.0
494,1647.0,3.0,2.0,410000.0
495,982.0,2.0,2.0,548235.0
496,1412.0,3.0,3.0,429718.0
497,1048.0,3.0,2.0,68229.0
498,560.0,2.0,1.0,49719.0
499,1370.0,3.0,1.0,128912.0
500,1567.0,3.0,2.0,598301.0
501,2612.0,5.0,3.0,120433.0
502,1685.0,3.0,2.0,499305.0
503,1256.0,3.0,2.0,77826.0
504,1472.0,4.0,2.0,173237.0
505,2295.0,5.0,2.5,451873.0
506,3046.0,4.0,3.5,671379.0
507,900.0,2.0,1.0,186636.0
508,2206.0,4.0,3.0,107664.0
509,2458.0,3.0,2.5,555015.0
510,3459.0,4.0,2.0,368901.0
511,672.0,2.0,1.0,411176.0
512,2331.0,5.0,2.0,190728.0
513,1381.0,4.0,2.0,403000.0
514,1032.0,3.0,2.0,384280.0
515,1888.0,3.0,3.0,240481.0
516,2035.0,2.0,2.0,670598.0
517,954.0,3.0,1.0,256239.0
518,2156.0,5.0,3.0,1850000.0
519,2054.0,3.0,3.0,835675.0
520,2448.0,4.0,3.0,612107.0
521,3685.0,4.0,4.0,810367.0
522,1472.0,4.0,2.0,198300.0
523,2095.0,3.0,2.5,454405.0
524,1383.0,4.0,2.0,420354.0
525,862.0,2.0,1.0,261448.0
526,980.0,2.0,1.0,138240.0
527,2104.0,2.0,2.0,418277.0
528,885.0,2.0,1.0,233923.0
529,1913.0,3.0,2.0,161643.0
530,2129.0,5.0,3.0,598997.0
531,1339.0,4.0,2.0,264919.0
532,1299.0,3.0,3.0,565000.0
533,1237.0,3.0,2.0,343474.0
534,1293.0,3.0,2.0,452517.0
535,1813.0,3.0,2.0,913725.0
536,2018.0,4.0,2.0,144045.0
537,1546.0,3.0,2.0,269784.0
538,1695.0,3.0,2.0,542833.0
539,979.0,2.0,2.0,259739.0
540,848.0,2.0,1.0,305734.0
541,1823.0,3.0,2.0,666780.0
542,1420.0,4.0,2.0,59118.0
543,1146.0,2.0,1.0,530518.0
544,972.0,3.0,1.0,297619.0
545,1603.0,3.0,2.0,351733.0
546,1740.0,3.0,2.0,724873.0
547,1565.0,3.0,3.0,486698.0
548,2143.0,3.0,2.0,254873.0
549,1670.0,4.0,2.0,435068.0
550,1786.0,2.0,2.0,810425.0
551,2315.0,4.0,3.0,678000.0
552,1752.0,4.0,2.5,470782.0
553,1305.0,3.0,2.0,205671.0
554,1300.0,3.0,2.0,73267.0
555,1645.0,4.0,2.0,229703.0
556,3420.0,4.0,3.0,290632.0
557,1608.0,3.0,4.0,1045888.0
558,2860.0,3.0,3.0,169163.0
559,1639.0,4.0,2.0,575293.0
560,2471.0,4.0,3.0,1069568.0
561,1826.0,4.0,2.0,959000.0
562,2280.0,3.0,3.0,147654.0
563,2255.0,4.0,3.0,232897.0
564,1319.0,3.0,1.0,68715.0
565,1997.0,4.0,2.5,352635.0
566,1301.0,2.0,2.5,313889.0
567,1548.0,4.0,2.0,99279.0
568,1719.0,4.0,2.0,558386.0
569,1598.0,3.0,2.0,1231630.0
570,1500.0,3.0,2.0,964487.0
571,1274.0,3.0,2.0,73058.0
572,1638.0,3.0,2.0,113030.0
573,2659.0,4.0,2.5,556661.0
574,4561.0,5.0,5.0,1135899.0
575,1473.0,3.0,1.0,566750.0
576,1958.0,2.0,2.0,414350.0
577,1176.0,2.0,1.0,39307.0
578,3736.0,4.0,4.0,322576.0
579,4226.0,4.0,5.0,2200000.0
580,1034.0,3.0,1.0,178838.0
581,2220.0,3.0,3.0,225746.0
582,2268.0,3.0,4.0,1687919.0
583,1533.0,2.0,2.0,87557.0
584,1470.0,3.0,2.0,182691.0
585,1540.0,3.0,2.0,63380.0
586,1572.0,3.0,2.0,227863.0
587,2961.0,4.0,4.0,546265.0
588,1120.0,3.0,1.0,65144.0
589,1737.0,3.0,2.0,1904769.0
590,5782.0,0.0,5.0,4626995.0
591,3678.0,2.0,3.0,1561352.0
592,928.0,2.0,1.0,277389.0
593,1152.0,3.0,2.0,310022.0
594,1026.0,3.0,1.0,247572.0
595,1099.0,3.0,2.0,439000.0
596,2037.0,3.0,2.0,432000.0
597,2523.0,4.0,3.0,2144041.0
598,1187.0,3.0,2.0,379000.0
599,1293.0,2.0,1.0,52342.0
600,745.0,1.0,1.0,192000.0
601,936.0,3.0,1.0,464000.0
602,1300.0,2.0,1.0,126954.0
603,2533.0,4.0,2.5,599720.0
604,1202.0,3.0,2.0,403336.0
605,6339.0,5.0,3.0,3908712.0
606,912.0,3.0,1.0,114201.0
607,3014.0,4.0,3.0,861313.0
608,1040.0,3.0,1.0,116353.0
609,1300.0,4.0,2.0,296369.0
610,3740.0,3.0,4.0,1985117.0
611,1524.0,1.0,2.0,689674.0
612,1236.0,4.0,2.0,79584.0
613,2336.0,3.0,2.0,678000.0
614,1268.0,3.0,2.0,348096.0
615,852.0,2.0,1.0,298819.0
616,1228.0,2.0,1.0,643551.0
617,1498.0,2.0,2.0,477322.0
618,948.0,3.0,1.0,224273.0
619,1288.0,4.0,2.0,426363.0
620,1110.0,2.0,2.0,320531.0
621,1718.0,4.0,2.0,69228.0
622,1465.0,3.0,1.0,432037.0
623,1129.0,2.0,1.0,859493.0
624,1610.0,3.0,2.0,133765.0
625,1240.0,4.0,2.0,515000.0
626,969.0,2.0,1.0,261096.0
627,1192.0,2.0,2.0,376000.0
628,1570.0,4.0,3.0,218497.0
629,4287.0,4.0,3.0,1119769.0
630,896.0,2.0,1.0,330856.0
631,1140.0,2.0,2.0,771589.0
632,999.0,3.0,1.0,48821.0
633,1046.0,2.0,1.0,389492.0
634,2065.0,3.0,3.0,724000.0
635,2186.0,4.0,2.5,683000.0
636,1796.0,3.0,2.0,249518.0
637,2694.0,4.0,3.0,315132.0
638,1855.0,2.0,2.0,769000.0
639,1513.0,3.0,1.0,385686.0
640,1674.0,3.0,2.0,685000.0
641,3029.0,3.0,4.0,227160.0
642,1737.0,3.0,3.0,435017.0
643,1045.0,3.0,1.0,337219.0
644,1537.0,3.0,2.0,420361.0
645,2211.0,3.0,2.5,881000.0
646,2096.0,4.0,3.0,536606.0
647,850.0,2.0,1.0,249593.0
648,3512.0,3.0,2.5,1387689.0
649,1034.0,3.0,2.0,421533.0
650,2160.0,3.0,3.0,104291.0
651,750.0,2.0,1.0,58354.0
652,1986.0,3.0,2.0,309650.0
653,2455.0,4.0,3.0,699828.0
654,868.0,2.0,1.0,62901.0
655,1132.0,2.0,2.5,127253.0
656,1443.0,3.0,2.0,134913.0
657,1459.0,2.0,1.0,67473.0
658,1320.0,3.0,2.0,677171.0
659,1102.0,3.0,1.0,600000.0
660,4126.0,3.0,5.0,1877924.0
661,2951.0,4.0,3.0,662924.0
662,1795.0,4.0,2.0,65437.0
663,2572.0,4.0,3.0,757582.0
664,2753.0,4.0,3.0,897094.0
665,1299.0,3.0,2.0,119404.0
666,1535.0,3.0,2.0,263355.0
667,1104.0,3.0,2.0,65154.0
668,1859.0,2.0,3.0,458456.0
669,1970.0,3.0,2.5,369972.0
670,3541.0,5.0,4.5,1104958.0
671,1316.0,3.0,2.0,205123.0
672,1316.0,3.0,2.0,205123.0
673,1648.0,3.0,2.0,114918.0
674,1146.0,3.0,2.0,280072.0
675,1373.0,3.0,2.0,64557.0
676,1381.0,3.0,1.5,298006.0
677,676.0,2.0,1.0,35481.0
678,754.0,2.0,1.0,769053.0
679,1320.0,2.0,2.0,130843.0
680,1557.0,4.0,3.0,644683.0
681,2278.0,4.0,2.5,294278.0
682,1457.0,4.0,2.5,588845.0
683,1132.0,5.0,2.0,42209.0
684,1007.0,3.0,2.0,168210.0
685,1143.0,3.0,2.0,108559.0
686,2102.0,4.0,2.0,245484.0
687,2013.0,4.0,3.0,270697.0
688,1202.0,4.0,2.0,301868.0
689,1400.0,4.0,2.0,438377.0
690,3012.0,4.0,4.0,638500.0
691,4122.0,5.0,4.5,241219.0
692,3159.0,4.0,4.0,659633.0
693,2728.0,3.0,4.0,411793.0
694,2051.0,3.0,3.0,219846.0
695,1088.0,1.0,1.0,217558.0
696,2574.0,4.0,3.0,734075.0
